Reporter,Year,Partner,Product,MFNRate,AppliedTariff,TotalTariffLines,IsTraded
United States,2022,China,"030341 - Fish; albacore or longfinned tunas (thunnus alalunga), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,Yes
United States,2022,China,"020500 - Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",0,0,1,No
United States,2022,China,"030233 - Fish; skipjack or stripe-bellied bonito, fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,No
United States,2022,China,030364 - Haddock (Melanogrammus aeglefinus),0,0,1,No
United States,2022,China,010690 - Other,0,0,1,Yes
United States,2022,China,"021092 - Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",2.299999952,2.299999952,1,No
United States,2022,China,030326 - Eels (Anguilla spp.),0,0,1,Yes
United States,2022,China,010594 - Fowls of the species Gallus domesticus,1.217614055,1.217614055,1,No
United States,2022,China,020760 - Of guinea fowls,2.380899906,2.380899906,5,No
United States,2022,China,030284 - Sea bass (Dicentrarchus spp.),1.5,1.5,2,No
United States,2022,China,010420 - Goats; live,1.038383007,1.038383007,1,No
United States,2022,China,"020745 - Other, frozen",2.375293016,2.375293016,1,No
United States,2022,China,"030273 - Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",1.5,1.5,2,No
United States,2022,China,"020110 - Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",9.844323158,9.844323158,3,No
United States,2022,China,021093 - Of reptiles (including snakes and turtles),2.299999952,2.299999952,1,No
United States,2022,China,"030329 - Fish; salmonidae, frozen, n.e.s. in item no. 0302.1 and 0302.2 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,Yes
United States,2022,China,"010599 - Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",1.116204977,1.116204977,1,Yes
United States,2022,China,"020810 - Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen",6.400000095,6.400000095,1,Yes
United States,2022,China,030285 - Sea bream (Sparidae),1.5,1.5,2,No
United States,2022,China,010231 - Pure-bred breeding animals,0,0,1,No
United States,2022,China,"020725 - Not cut in pieces, frozen",14.32234478,14.32234478,2,No
United States,2022,China,030253 - Coalfish (Pollachius virens),0,0,1,No
United States,2022,China,"030432 - Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",0,0,1,No
